#LIBRARY    ENDF/B-VIII.b4
#REACTION   O-16(N,EL)O-16-L0,SIG
#NUCLEUS    O-16
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1E-05       54.1469      Lin-Lin
 1.10304E-05 51.567       Lin-Lin
 1.21669E-05 49.1112      Lin-Lin
 1.34206E-05 46.7734      Lin-Lin
 1.48034E-05 44.548       Lin-Lin
 1.63286E-05 42.4298      Lin-Lin
 1.80111E-05 40.4137      Lin-Lin
 1.98669E-05 38.4947      Lin-Lin
 2.19139E-05 36.6683      Lin-Lin
 2.41719E-05 34.93        Lin-Lin
 2.66625E-05 33.2758      Lin-Lin
 2.94097E-05 31.7016      Lin-Lin
 3.244E-05   30.2036      Lin-Lin
 3.57825E-05 28.7782      Lin-Lin
 3.94694E-05 27.422       Lin-Lin
 4.35362E-05 26.1318      Lin-Lin
 4.80221E-05 24.9044      Lin-Lin
 5.29701E-05 23.7368      Lin-Lin
 5.8428E-05  22.6263      Lin-Lin
 6.44482E-05 21.5702      Lin-Lin
 7.10888E-05 20.566       Lin-Lin
 7.84136E-05 19.6112      Lin-Lin
 8.64931E-05 18.7035      Lin-Lin
 9.54051E-05 17.8408      Lin-Lin
 0.000105235 17.0209      Lin-Lin
 0.000116078 16.242       Lin-Lin
 0.000128942 15.4504      Lin-Lin
 0.000143224 14.7018      Lin-Lin
 0.000159096 13.9933      Lin-Lin
 0.000176718 13.3237      Lin-Lin
 0.000196301 12.6905      Lin-Lin
 0.000218044 12.0925      Lin-Lin
 0.000242208 11.5274      Lin-Lin
 0.000269035 10.9942      Lin-Lin
 0.000298849 10.4909      Lin-Lin
 0.000331951 10.0166      Lin-Lin
 0.000368737 9.56946      Lin-Lin
 0.000409579 9.14861      Lin-Lin
 0.000454968 8.75246      Lin-Lin
 0.000505362 8.38022      Lin-Lin
 0.000561365 8.03045      Lin-Lin
 0.000623544 7.70244      Lin-Lin
 0.000697495 7.37517      Lin-Lin
 0.000780217 7.0702       Lin-Lin
 0.00087275  6.78644      Lin-Lin
 0.000976257 6.52283      Lin-Lin
 0.00109204  6.27837      Lin-Lin
 0.00123017  6.03848      Lin-Lin
 0.00138571  5.8181       Lin-Lin
