#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,EL)U-235-L0,SIG
#NUCLEUS    U-235
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1E-05       54.3473      Lin-Lin
 1.11082E-05 51.7316      Lin-Lin
 1.23386E-05 49.2595      Lin-Lin
 1.37059E-05 46.9219      Lin-Lin
 1.5224E-05  44.7144      Lin-Lin
 1.69111E-05 42.6287      Lin-Lin
 1.87842E-05 40.661       Lin-Lin
 2.08659E-05 38.8038      Lin-Lin
 2.3177E-05  37.0538      Lin-Lin
 2.57455E-05 35.4042      Lin-Lin
 2.85971E-05 33.8519      Lin-Lin
 3.17662E-05 32.3909      Lin-Lin
 3.52847E-05 31.0184      Lin-Lin
 3.91949E-05 29.729       Lin-Lin
 4.35362E-05 28.52        Lin-Lin
 4.86996E-05 27.3142      Lin-Lin
 5.44753E-05 26.1908      Lin-Lin
 6.0936E-05  25.1458      Lin-Lin
 6.81629E-05 24.1755      Lin-Lin
 7.6247E-05  23.2759      Lin-Lin
 8.58914E-05 22.3936      Lin-Lin
 9.6751E-05  21.5834      Lin-Lin
 0.000108989 20.8406      Lin-Lin
 0.000123635 20.1238      Lin-Lin
 0.000140249 19.474       Lin-Lin
 0.00016021  18.856       Lin-Lin
 0.000183021 18.3023      Lin-Lin
 0.000210545 17.7838      Lin-Lin
 0.000243904 17.3043      Lin-Lin
 0.000284542 16.866       Lin-Lin
 0.000334292 16.4703      Lin-Lin
 0.000398262 16.1041      Lin-Lin
 0.000481192 15.7725      Lin-Lin
 0.000589562 15.4789      Lin-Lin
 0.000737698 15.2166      Lin-Lin
 0.000949283 14.9835      Lin-Lin
 0.00126513  14.78        Lin-Lin
 0.00177075  14.6045      Lin-Lin
 0.00263967  14.4579      Lin-Lin
 0.00434062  14.3367      Lin-Lin
 0.00844395  14.2336      Lin-Lin
 0.0222005   14.1242      Lin-Lin
 0.0252419   14.109       Lin-Lin
 0.0253      14.1088      Lin-Lin
 0.117317    13.7889      Lin-Lin
 0.220371    13.5034      Lin-Lin
 0.251705    13.4712      Lin-Lin
 0.331686    13.5596      Lin-Lin
 0.395177    13.4918      Lin-Lin
 0.631837    13.1142      Lin-Lin
 1.03898     12.5942      Lin-Lin
 1.06102     12.5853      Lin-Lin
 1.09942     12.6299      Lin-Lin
 1.13572     12.7826      Lin-Lin
 1.17115     12.9553      Lin-Lin
 1.19846     13.005       Lin-Lin
 1.23252     12.9652      Lin-Lin
 1.31772     12.7726      Lin-Lin
 1.51586     12.514       Lin-Lin
 1.88355     12.1451      Lin-Lin
 1.95706     12.0122      Lin-Lin
 1.99268     11.9314      Lin-Lin
