#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,F),SIG
#NUCLEUS    U-235
#MF         3
#MT         18
#E,eV        Sig,b        Interpolation
 1E-05       30922.8      Lin-Lin
 1.10304E-05 29443        Lin-Lin
 1.21669E-05 28034        Lin-Lin
 1.34206E-05 26692.4      Lin-Lin
 1.48034E-05 25415.1      Lin-Lin
 1.63286E-05 24198.8      Lin-Lin
 1.80111E-05 23040.7      Lin-Lin
 1.98669E-05 21938.1      Lin-Lin
 2.19139E-05 20888.2      Lin-Lin
 2.41719E-05 19888.5      Lin-Lin
 2.66625E-05 18936.7      Lin-Lin
 2.94097E-05 18030.4      Lin-Lin
 3.244E-05   17167.4      Lin-Lin
 3.57825E-05 16345.7      Lin-Lin
 3.94694E-05 15563.4      Lin-Lin
 4.35362E-05 14818.5      Lin-Lin
 4.80221E-05 14109.2      Lin-Lin
 5.29701E-05 13433.8      Lin-Lin
 5.8428E-05  12790.8      Lin-Lin
 6.44482E-05 12178.5      Lin-Lin
 7.10888E-05 11595.4      Lin-Lin
 7.84136E-05 11040.3      Lin-Lin
 8.64931E-05 10511.7      Lin-Lin
 9.54051E-05 10008.4      Lin-Lin
 0.000105235 9529.22      Lin-Lin
 0.000116078 9072.9       Lin-Lin
 0.000128039 8638.41      Lin-Lin
 0.000141232 8224.68      Lin-Lin
 0.000155784 7830.74      Lin-Lin
 0.000171835 7455.63      Lin-Lin
 0.00018954  7098.45      Lin-Lin
 0.00020907  6758.33      Lin-Lin
 0.000230612 6434.48      Lin-Lin
 0.000254374 6126.09      Lin-Lin
 0.000280584 5832.44      Lin-Lin
 0.000309494 5552.82      Lin-Lin
 0.000341383 5286.55      Lin-Lin
 0.000376558 5032.99      Lin-Lin
 0.000415358 4791.54      Lin-Lin
 0.000458155 4561.61      Lin-Lin
 0.000505362 4342.66      Lin-Lin
 0.000557433 4134.15      Lin-Lin
 0.000614869 3935.58      Lin-Lin
 0.000678223 3746.48      Lin-Lin
 0.000748105 3566.4       Lin-Lin
 0.000825188 3394.89      Lin-Lin
 0.000910213 3231.56      Lin-Lin
 0.001004    3076         Lin-Lin
 0.00110745  2927.85      Lin-Lin
 0.00122155  2786.74      Lin-Lin
 0.00134742  2652.35      Lin-Lin
 0.00148625  2524.34      Lin-Lin
 0.00163939  2402.42      Lin-Lin
 0.00180831  2286.28      Lin-Lin
 0.00199463  2175.67      Lin-Lin
 0.00220016  2070.3       Lin-Lin
 0.00242685  1969.94      Lin-Lin
 0.00267691  1874.35      Lin-Lin
 0.00295273  1783.31      Lin-Lin
 0.00325697  1696.61      Lin-Lin
 0.00359256  1614.04      Lin-Lin
 0.00396272  1535.42      Lin-Lin
 0.00437103  1460.53      Lin-Lin
 0.00482141  1389.19      Lin-Lin
 0.00531819  1321.2       Lin-Lin
 0.00586616  1256.4       Lin-Lin
 0.00647059  1194.67      Lin-Lin
 0.0071373   1135.89      Lin-Lin
 0.00787271  1079.92      Lin-Lin
 0.00868389  1026.65      Lin-Lin
 0.00957865  975.963      Lin-Lin
 0.0105656   927.74       Lin-Lin
 0.0116543   881.85       Lin-Lin
 0.0128551   838.144      Lin-Lin
 0.0141796   796.487      Lin-Lin
 0.0156406   756.773      Lin-Lin
 0.0172522   718.903      Lin-Lin
 0.0190298   682.769      Lin-Lin
 0.0209906   648.26       Lin-Lin
 0.0231534   615.276      Lin-Lin
