#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,G)U-236,SIG
#NUCLEUS    U-235
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 1E-05       5720.46      Lin-Lin
 1.10304E-05 5446.72      Lin-Lin
 1.21669E-05 5186.07      Lin-Lin
 1.34206E-05 4937.9       Lin-Lin
 1.48034E-05 4701.6       Lin-Lin
 1.63286E-05 4476.6       Lin-Lin
 1.80111E-05 4262.38      Lin-Lin
 1.98669E-05 4058.4       Lin-Lin
 2.19139E-05 3864.18      Lin-Lin
 2.41719E-05 3679.26      Lin-Lin
 2.66625E-05 3503.18      Lin-Lin
 2.94097E-05 3335.52      Lin-Lin
 3.244E-05   3175.89      Lin-Lin
 3.57825E-05 3023.9       Lin-Lin
 3.94694E-05 2879.17      Lin-Lin
 4.35362E-05 2741.37      Lin-Lin
 4.80221E-05 2610.17      Lin-Lin
 5.29701E-05 2485.24      Lin-Lin
 5.8428E-05  2366.28      Lin-Lin
 6.44482E-05 2253.02      Lin-Lin
 7.10888E-05 2145.17      Lin-Lin
 7.84136E-05 2042.49      Lin-Lin
 8.64931E-05 1944.71      Lin-Lin
 9.54051E-05 1851.61      Lin-Lin
 0.000105235 1762.97      Lin-Lin
 0.000116078 1678.56      Lin-Lin
 0.000128039 1598.19      Lin-Lin
 0.000141232 1521.66      Lin-Lin
 0.000155784 1448.79      Lin-Lin
 0.000171835 1379.41      Lin-Lin
 0.00018954  1313.34      Lin-Lin
 0.00020907  1250.43      Lin-Lin
 0.000230612 1190.53      Lin-Lin
 0.000254374 1133.49      Lin-Lin
 0.000280584 1079.18      Lin-Lin
 0.000309494 1027.46      Lin-Lin
 0.000341383 978.208      Lin-Lin
 0.000376558 931.311      Lin-Lin
 0.000415358 886.652      Lin-Lin
 0.000458155 844.125      Lin-Lin
 0.000505362 803.627      Lin-Lin
 0.000557433 765.06       Lin-Lin
 0.000614869 728.332      Lin-Lin
 0.000678223 693.354      Lin-Lin
 0.000748105 660.041      Lin-Lin
 0.000825188 628.314      Lin-Lin
 0.000910213 598.096      Lin-Lin
 0.001004    569.314      Lin-Lin
 0.00110745  541.897      Lin-Lin
 0.00122155  515.781      Lin-Lin
 0.00134742  490.901      Lin-Lin
 0.00148625  467.197      Lin-Lin
 0.00163939  444.611      Lin-Lin
 0.00180831  423.089      Lin-Lin
 0.00199463  402.578      Lin-Lin
 0.00220016  383.028      Lin-Lin
 0.00242685  364.39       Lin-Lin
 0.00267691  346.621      Lin-Lin
 0.00295273  329.677      Lin-Lin
 0.00325697  313.516      Lin-Lin
 0.00359256  298.099      Lin-Lin
 0.00396272  283.385      Lin-Lin
 0.00437103  269.336      Lin-Lin
 0.00482141  255.91       Lin-Lin
 0.00531819  243.07       Lin-Lin
 0.00586616  230.784      Lin-Lin
 0.00647059  219.024      Lin-Lin
 0.0071373   207.766      Lin-Lin
 0.00787271  196.985      Lin-Lin
 0.00868389  186.659      Lin-Lin
 0.00957865  176.766      Lin-Lin
