#   PRODUCT      ZAFP     FPS           Y          DY
# ----------- ------- ------- ----------- -----------
 23-V - 66    23066.      0.  2.0503E-19  1.3122E-19
 24-Cr- 66    24066.      0.  2.4098E-14  1.5423E-14
 24-Cr- 67    24067.      0.  0.0000E+00  0.0000E+00
 24-Cr- 68    24068.      0.  0.0000E+00  0.0000E+00
 24-Cr- 69    24069.      0.  2.1082E-18  1.3492E-18
 24-Cr- 70    24070.      0.  0.0000E+00  0.0000E+00
 25-Mn- 66    25066.      0.  7.1995E-12  4.6077E-12
 25-Mn- 67    25067.      0.  5.3796E-12  3.4430E-12
 25-Mn- 68    25068.      0.  6.6595E-13  4.2621E-13
 25-Mn- 69    25069.      0.  8.0292E-14  5.1387E-14
 25-Mn- 70    25070.      0.  0.0000E+00  0.0000E+00
 25-Mn- 71    25071.      0.  0.0000E+00  0.0000E+00
 25-Mn- 72    25072.      0.  6.0829E-18  3.8930E-18
 25-Mn- 73    25073.      0.  6.4107E-19  4.1029E-19
 26-Fe- 66    26066.      0.  3.7597E-10  2.4062E-10
 26-Fe- 67    26067.      0.  6.8695E-10  4.3965E-10
 26-Fe- 68    26068.      0.  3.9197E-10  2.5086E-10
 26-Fe- 69    26069.      0.  1.2199E-10  7.8074E-11
 26-Fe- 70    26070.      0.  3.2398E-11  2.0734E-11
 26-Fe- 71    26071.      0.  4.9197E-12  3.1486E-12
 26-Fe- 72    26072.      0.  7.1494E-13  4.5756E-13
 26-Fe- 73    26073.      0.  5.5395E-14  3.5453E-14
 26-Fe- 74    26074.      0.  0.0000E+00  0.0000E+00
 26-Fe- 75    26075.      0.  1.0003E-16  6.4017E-17
 26-Fe- 76    26076.      0.  0.0000E+00  0.0000E+00
 27-Co- 66    27066.      0.  2.8098E-10  1.7983E-10
 27-Co- 67    27067.      0.  1.9999E-09  1.2799E-09
 27-Co- 68    27068.      0.  2.4698E-09  1.5807E-09
 27-Co- 69    27069.      0.  3.2498E-09  2.0799E-09
 27-Co- 70    27070.      0.  2.0899E-09  1.3375E-09
 27-Co- 71    27071.      0.  1.4799E-09  9.4713E-10
 27-Co- 72    27072.      0.  5.7996E-10  3.7117E-10
 27-Co- 73    27073.      0.  2.2098E-10  1.4143E-10
 27-Co- 74    27074.      0.  2.9998E-11  1.9199E-11
 27-Co- 75    27075.      0.  3.8096E-12  2.4382E-12
 27-Co- 76    27076.      0.  2.5298E-13  1.6191E-13
 27-Co- 77    27077.      0.  6.5264E-15  4.1769E-15
 27-Co- 78    27078.      0.  4.2793E-16  2.7388E-16
 28-Ni- 66    28066.      0.  5.7796E-11  3.6989E-11
 28-Ni- 67    28067.      0.  9.0394E-10  5.7852E-10
 28-Ni- 68    28068.      0.  4.1897E-09  2.6814E-09
 28-Ni- 69    28069.      0.  1.1199E-08  7.1675E-09
 28-Ni- 70    28070.      0.  2.7798E-08  1.7791E-08
 28-Ni- 71    28071.      0.  4.3497E-08  2.7838E-08
 28-Ni- 72    28072.      0.  7.5995E-08  4.8637E-08
 28-Ni- 73    28073.      0.  7.1295E-08  4.5629E-08
 28-Ni- 74    28074.      0.  4.5797E-08  2.9310E-08
 28-Ni- 75    28075.      0.  1.5299E-08  9.7913E-09
 28-Ni- 76    28076.      0.  5.0197E-09  3.2126E-09
 28-Ni- 77    28077.      0.  5.6395E-10  3.6093E-10
 28-Ni- 78    28078.      0.  5.0296E-11  3.2190E-11
 28-Ni- 80    28080.      0.  1.5599E-14  9.9833E-15
 28-Ni- 82    28082.      0.  0.0000E+00  0.0000E+00
 29-Cu- 66    29066.      0.  1.4299E-13  9.1514E-14
 29-Cu- 67    29067.      0.  9.6793E-12  6.1948E-12
 29-Cu- 68    29068.      0.  3.1498E-11  2.0159E-11
 29-Cu- 68-M  29068.      1.  7.3595E-11  4.7101E-11
 29-Cu- 69    29069.      0.  1.1399E-09  7.2955E-10
 29-Cu- 70    29070.      0.  1.4899E-09  9.5353E-10
 29-Cu- 70-M  29070.      1.  4.4597E-09  2.8542E-09
 29-Cu- 71    29071.      0.  3.4798E-08  2.2270E-08
 29-Cu- 72    29072.      0.  1.2699E-07  8.1274E-08
 29-Cu- 73    29073.      0.  4.7097E-07  3.0142E-07
 29-Cu- 74    29074.      0.  6.8195E-07  4.3645E-07
 29-Cu- 75    29075.      0.  1.0099E-06  6.4635E-07
 29-Cu- 76    29076.      0.  8.2794E-07  5.2988E-07
 29-Cu- 77    29077.      0.  4.4497E-07  2.8478E-07
 29-Cu- 78    29078.      0.  1.0899E-07  6.9755E-08
 29-Cu- 79    29079.      0.  0.0000E+00  0.0000E+00
 29-Cu- 80    29080.      0.  5.2496E-10  3.3598E-10
 29-Cu- 81    29081.      0.  0.0000E+00  0.0000E+00
 29-Cu- 82    29082.      0.  1.4799E-12  9.4713E-13
 29-Cu- 83    29083.      0.  7.3133E-15  4.6805E-15
